لری, فارسی
سرسكو ويساده  , بر روی سكو ايستاده است
اي سكو بلنده  , اين سكو بلند است
من ده دومنی سکونت داره , در ده پایینی سکونت دارد
دردم تسکین وابی  , دردم تسکین شد
وَ گفتی سگ بارون نی­زنه , به گفته­ی سگ بارون نمی­بارد
سگ هف جون داره  , سگ هفت جان دارد
مث سگ هف جون داره, مانند سگ هفت جان دارد
سگ خُش چنه که پشمش چه بو, سگ خودش چیست که پشمش چه باشد
سگ دم حونی صحابش خوب پارس ای­کنه  , سگ جلوی خانه­ی صاحبش خوب پارس می­کند
سگ صحاب خِشه نی­شناسه, سگ صاحب خودش را نمی­شناسد
سگ سیلش نی­کنه  , سگ نگاهش نمی­کند
سگ پی صحابش نی­گره , سگ پای صاحبش را گاز نمی­گیرد
سگار ای­کشه  , سیگار می­کشد
سگرمَش من یکه ,  سگرمه­اش درهم است
سل گرهته  , سل گرفته است
سلام سلامتی ای­یار , سلام سلامتی می­آورد
سطل اویی­نه بیار  , سطل آبی را بیاور
وَ سطل او بیار  , با سطل آب بیاور.
ای سطل سمه­یه  , این سطل سوراخ است.
سلمونی سرمه زه  , سلمانی موی سرم را زد
سلمونی اومه وَ آبادی, سلمانی به آبادی آمد
مهلی سلیقه داره  , خیلی سلیقه دارد
آدم سلیقه داری یه  , آدم سلیقه داری است
آدم خش سلیقی­یه , آدم خوش سلیقه­ای است
هر جا سم خر تیی دزه, هرجا سم خر است چشم دزد است
گدی سمجی­یه  , گدای سمجی است
سماق بریز سر کباب چربه, روی کباب سماق بریز چرب است
سماوره بزه وَ برق, سماور را به برق بزن
او کُه من سماور  , آب در سماور بریز
جوهر گل سمبلِینَه رخت مِن دُوات, جوهر گل سنبلی را در دوات ریخت
مث سمیر گوراکنه , مانند سمور گورکن است
دیوارَه سمه که  , دیوار را سوراخ کرد
بچشه سنت کِه  ,  بچه­اش را ختنه کرد.
وخت سنتش وابیده  , وقت ختنه­اش رسیده است
سلمونی اومده سنتش کنه, سلمانی آمده است که او را ختنه کند
سی چه سنتش نی­کنی, چرا او را ختنه نمی­کنی
حونش سند داره  , خانه­اش سند دارد
زمینش بی سندِه  , زمینش بی سند است 
سندِ ماشِیشَه اهسد  , سند ماشینش را گرفت
سند سیم سرپی داره , سند سیم سربی دارد
ای هیمه سنداله  , این هیزم پوسیده است.
کندی ای دار سندال وابیده , کنده­ی این درخت پوسیده شده است
ای که سندال وابی  , : این کاه پوسید.
جوون سنگین رنگینی­یه , جوان سنگین رنگینی است
مِن کارش سنگ اندازی ای­کنه, . در کارش سنگ اندازی می­کند
سنگشه و سینه ای­زنه, سنگش را به سینه می­زند
ای امامزاده سنگش ای­کنه, این امامزاده او را سنگ می­کند
آدم سنگر گری بی, آدم سنگر گیری بود
باید سنگر گری کنیم, باید سنگرگیری کنیم
ای­دِ تا و یک سوا وابيدن, این دو تا از هم سوا شدند
سوادش نم کشیده  ,  سوادش نم کشیده است
سوار اسپ وابی  , سوار اسب شد.
سواره گدی ای­کنه, سواره گدایی می­کند
سوار خر تره خر ای­گرده, سوار خر است و دنبال خر می­گردد
سوار خر شیطون وابیده , سوار خر شیطون شده است
سواره وزین ای­یار دومن, سوار را از زین پایین می­کشد
سود سفر سلامتی­یه, سود سفر سلامتی است
سودا دَراوُردِه  , سودا در آورده است
سور بی نمکی کردن, شور و بی نمکی کردن
سی عروسی بَچَش سور ای­ده , برای عروسی فرزندش سور می­دهد 
سوغاتی سیمو آوُ  , سوغاتی برای ما آورد
سوم بهسه  , : یخ زده است
زمین سوم بهسه  , زمین یخ زده است
سویل و بنا گوش در رهته, سبیل از بناگوش در رفته
سویلش و بناگوشش در رهته , . سبیلش از بناگوشش در رفته است
شو سهون وابیده  , شب سیاه شده است
سیش جون سوزی ای­کنه, برایش جان سوزی می­کند
سهلو اومه حیونَلَه بُ, سیلاب آمد و حیوانات را برد.
سهلو کلهند بی  , سیلاب زيادی بود
سی قسمه راسی  , برای راستی قسم
سی قسمه راسی ای­کاره بِکُ, برای راستی قسم این کار را بکن
سی گوش گا گرهتن ای­ره من چاله, برای گوش گاو گرفتن وارد آتش می­شود
سی درمون وگیر نی یا , برای درمان گیر نمی­آید 
سی مهطلی هم نه خوبه, . برای معطلی هم خوب نیست
سی یال هم نه خوبه , برای آل هم خوب نیست
سیش دمه­ری که  , برایش دمرو کرد
سیت دمَه­ری وا, برایت دمرو شد
سی دارو درمون وگیر نی­یا , برای دارو و درمان گیر نمی­آید
سیانومشه آوردن  , سیاه نامه­اش را آوردند
سیانومته بیارن  , سیاه نامه­ات را بیاورند
سیر تا پیازشه سیم تعریف که , سیر تا پیاز آن را برایم تعریف کرد
بو سیر و دهونش ای­یا, بوی سیر از دهانش می­آید
سیرمونی نداره  , سیرمانی ندارد
سیر خور و گسنه نداره, سیر خبر از گرسنه ندارد
وسیلش سیر وانی بو, از دیدنش سیر نمی­شود
وَ زندی سیر وابی  , از زندگی سیر شد
وَ زندی سیره  , : از زندگی سیر است
و تیش سیرمه کشی, به چشمش سرمه کشید
سیرمه کشیدن  , سرمه کشیدن
یه سر سیزن غیرت نداره , یک سر سوزن غیرت ندارد
سیزن ور کردن  , سوزن را نخ کردن
سیزه نحسه  , سیزده نحس است
من سیک نشهس  , در گوشه نشست
من سیک دیوار  , در گوشه­ی دیوار
سیل کردم  , نگاه کردم
سیل کُ  , نگاه کن
وسیلش سیر وانی بو , از دیدنش سیر نمی­شود
سیل ای­کنه  , نگاه می­کند
زه و سیم آخر  , به سیم آخر زد. 
سَنگِشَه وَ سینه ای­زنه , سنگش را به سینه می­زند
سینش گرهته  , سینه­اش گرفته است
شانومه آخرش خشه, شاه نامه آخرش خوش است
ما بزنه ما بزنه گرگو گلی شا بزنه, ماه بزند ماه بزند گرگ به گله­ی شاه بزند
شاخشو ره من یک , شاخ شان در هم رفت
آدم شادی­یه  , آدم شادی است
شادی ای­کنه  , : شادی می­کند
شاد اومی  , . شاد آمدی
ماه محرم اومده شادی رهته غم اومده , ماه محرم آمده و شادی رفته و غم آمده است
شانس خته امتحان کُ , شانس خودت را امتحان کن
شانسش خوب بی  , شانسش خوب بود
وَروه گهتن شاهدت کی­یه گُ دمبم, به روباه گفتند شاهدت کیست گفت دمم
شاهدش من دادگا حاضرابی , شاهدش در دادگاه حاضر شد
شایت برم  , شاید بروم، 
شباش وَش دا  , : به او شاباش داد
شباش خانَه وَش دا  , شاباش خان را به او داد
شپک ای­زنن , دست می­زنند
شتاب ای­کنه  , . شتاب می­کند
وَ شتاب ره  , به شتاب رفت
شتر سواری خله خله نداره, شتر سواری کج کج ندارد
شتر وا بارش ولا وی بو, شتر با بارش گم می­شود
شتر وابار منش ولا وی بو , شتر با بار در آن گم می­شود
وَ شتر گهتن گردنت خله  , به شتر گفتند گردنت کج است 
گُ کوچنم راسه که گردنم خله, گفت کجایم راست است که کردنم کج است
شتل ای­کنه  , شتل می­کند
چُندرَه شته زده  , چغندر را شته زده است. 
آدم شجی­یه  , آدم شجاعی است
بارون شدید ای­یا  , باران شدید می­بارد
من گرمی شدید کار ای­کنه, در گرمای شدید کار می­کند
شرّ من پوزِشه , شر در دهانش است.
من شربتین او ای­خره, در کاسه­آب می­خورد
شربتینه زه من او, کاسه­ را در آب زد
یه شربتین او وَم دا, یک کاسه­ آب به من داد
شر به گهتن  , شروه گفتن
شربه ای­گُ, شروه می­گوید
هوا شرتو وابی  , هوا آفتابی شد
آدم با شرفی­یه , آدم باشرفی است
